datedd|OPERATOR_NAME|COUNTRY_NAME|numuser|active_user|trafficmb|session|duration_s|s5s8_create_session_success_rate|s6a_loc_update_success_rate|dl_retransmitted_packet_rate|ul_retransmitted_packet_rate|internal_Latency|external_latency
2024-12-13|ALL|Malaysia|116913|26777|119600602.71068288|45546757|1352812259.324999|86.2796152975725|99.91275378862888||||
2024-12-13|ALL|Belarus|64|2|2026.2379808425903|50662|24383.237000000016|0.3667749715948731|99.74597798475868||||
2024-12-13|ALL|Canada|1337|204|629110.4880886078|190660|7103496.556999999|92.71389409897562|99.6||||
2024-12-13|ALL|India (404)|4635|639|1692229.9909496307|1388455|26723277.224000014|92.99584535432922|100.0||||
2024-12-13|ALL|Israel|306|44|226941.0513677597|60296|4496675.390999995|92.44260204081633|100.0||||
2024-12-13|ALL|Qatar|5954|1649|4931552.977089882|1692998|61058601.03599997|98.75898551652055|100.0||||
2024-12-13|ALL|Mongolia|74|13|14413.491230010986|4006|259559.15099999995|86.45204560697518|100.0||||
2024-12-13|ALL|Uzbekistan|142|20|20375.13442802429|15307|489148.289|52.505147563486624|100.0||||
2024-12-13|ALL|Vietnam|4782|1815|12438063.283247948|4282457|129477391.70000017|93.98147824811603|100.0||||
2024-12-13|ALL|Belgium|636|92|208899.5995721817|141941|3931157.961999988|84.73670821673875|100.0||||
2024-12-13|ALL|Liechtenstein (Principality of)|13|5|8654.271194458008|3973|92683.642|5.968971864317644|100.0||||
2024-12-13|ALL|Iceland|57|23|77678.41739654541|40174|1443555.2860000008|8.321293119017518|100.0||||
2024-12-13|ALL|Croatia|151|10|7095.802537918091|3251|85852.74399999999|67.70186335403726|100.0||||
2024-12-13|ALL|Morocco|330|41|217900.0771226883|34932|2519255.763|81.62887552059232|100.0||||
2024-12-13|ALL|Tunisia|82|2|1130.0320596694946|6353|12085.477000000004|1.080168776371308|100.0||||
2024-12-13|ALL|Russia|2157|205|1003445.0124521255|391456|15431287.035999998|90.27045286143922|100.0||||
2024-12-13|ALL|Tanzania|117|10|32312.23010158539|10018|307680.199|77.53657385559227|100.0||||
2024-12-13|ALL|Iraq|367|16|27725.77717781067|62741|496265.4319999997|54.53740593182824|100.0||||
2024-12-13|ALL|Ecuador|23|6|40972.11553096771|28336|842489.9970000009|57.81818181818181|100.0||||
2024-12-13|ALL|Bulgaria|117|11|50688.52894592285|3426|533010.458|66.58312447786132|100.0||||
